Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,  Sales,Tax,advertisement,Fuel
01-02-2020,OPC-Bag,352.5579,1600,160,22,665629.32,101536.6752,31800.44363,71211.1168
01-03-2020,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
01-03-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
01-03-2020,OPC-Bag,352.5579,800,80,80,332814.66,50768.3376,16149.84971,40245.5584
01-03-2020,OPC-Bag,352.5579,400,40,95,166407.33,25384.1688,8122.55275,20722.7792
01-03-2020,OPC-Bag,352.5579,400,40,75,166407.33,25384.1688,8082.55275,19922.7792
01-04-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
01-04-2020,PPC-Bag,264.7512,800,80,23,249925.13,38124.1728,11979.32888,27256.1152
01-05-2020,OPC-Bag,356.5512,400,40,23,168292.17,25671.6864,8068.402,18034.4576
01-08-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
01-09-2020,PPC-Bag,264.7512,200,20,25,62481.28,9531.0432,3016.68856,6854.0288
01-11-2020,OPC-Bag,352.5579,400,40,40,166407.33,25384.1688,8012.55275,18522.7792
01-11-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
01-11-2020,OPC-Bag,352.5579,800,80,45,332814.66,50768.3376,16009.84971,37445.5584
01-11-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
01-11-2020,OPC-Bag,363.2067,800,80,70,342867.12,52301.7648,16587.98083,40467.8432
01-12-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
01-12-2020,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
1-13-2020,OPC-Bag,352.5579,400,40,30,166407.33,25384.1688,7992.55275,18122.7792
1-15-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
1-15-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
1-15-2020,OPC-Bag,352.5579,400,40,45,166407.33,25384.1688,8022.55275,18722.7792
1-15-2020,OPC-Bulk,339.2622,800,80,30,320263.52,48853.7568,15352.87278,34969.1712
1-15-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
1-16-2020,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
1-16-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
1-16-2020,OPC-Bulk,339.2622,400,40,28,160131.76,24426.8784,7689.3995,17404.5856
1-16-2020,OPC-Bag,352.5579,800,80,95,332814.66,50768.3376,16209.84971,41445.5584
1-17-2020,PPC-Bag,264.7512,200,20,25,62481.28,9531.0432,3016.68856,6854.0288
1-17-2020,PPC-Bag,264.7512,10000,1000,25,3124064.16,476552.16,149537.1471,342701.44
1-18-2020,PPC-Bag,264.7512,200,20,25,62481.28,9531.0432,3016.68856,6854.0288
1-18-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
1-18-2020,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
1-20-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
1-22-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
1-23-2020,PPC-Bag,264.7512,400,40,35,124962.57,19062.0864,6026.902,14108.0576
1-23-2020,PPC-Bag,264.7512,200,20,25,62481.28,9531.0432,3016.68856,6854.0288
1-23-2020,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
1-23-2020,OPC-Bulk,339.2622,800,80,25,320263.52,48853.7568,15332.87278,34569.1712
1-24-2020,PPC-Bag,264.7512,2000,200,23,624812.83,95310.432,29908.60952,68140.288
1-25-2020,OPC-Bag,352.5579,1200,120,70,499221.99,76152.5064,24147.14667,59168.3376
1-25-2020,OPC-Bag,356.5512,1200,120,25,504876.5,77015.0592,24145.89576,54343.3728
1-25-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
1-25-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
1-25-2020,OPC-Bag,352.5579,800,80,80,332814.66,50768.3376,16149.84971,40245.5584
1-25-2020,OPC-Bag,352.5579,400,40,95,166407.33,25384.1688,8122.55275,20722.7792
1-26-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
1-26-2020,OPC-Bag,356.5512,6000,600,23,2524382.5,385075.296,120526.8583,270516.864
1-26-2020,PPC-Bag,264.7512,800,80,23,249925.13,38124.1728,11979.32888,27256.1152
1-29-2020,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
1-29-2020,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
1-30-2020,PPC-Bag,264.7512,10000,1000,25,3124064.16,476552.16,149537.1471,342701.44
1-31-2020,PPC-Bag,264.7512,400,40,22,124962.57,19062.0864,6000.902,13588.0576
1-31-2020,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
02-01-2020,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
02-01-2020,PPC-Bag,264.7512,400,40,22,124962.57,19062.0864,6000.902,13588.0576
02-01-2020,PPC-Bag,264.7512,1200,120,63,374887.7,57186.2592,18195.75576,45684.1728
02-01-2020,PPC-Bag,264.7512,2400,240,65,749775.4,114372.5184,36389.0364,91848.3456
02-02-2020,OPC-Bag,356.5512,1600,160,25,673168.67,102686.7456,32182.64264,72457.8304
